,FirstNameArtist,LastNameArtist,NameOfSchool,GeoAddress,lng,lat
1,Jennifer,Nugent,New World School of the Arts,"New World School of the Arts , USA",-80.193189,25.7762744
2,Carl ,Flink,Stanford Law School,"Stanford Law School , USA",-122.1675292,37.4239624
3,Carl ,Flink,University of Minnesota - Twin Cities ,"University of Minnesota - Twin Cities  , USA",-93.2277285,44.97399
4,Curt,Haworth,NYU Tisch School of the Arts,"NYU Tisch School of the Arts , USA",-73.9939578,40.7294998
5,Sarah,Suenam,Syracuse University,"Syracuse University , USA",-76.1351158,43.0391534
6,Thomas,Ralabate,Canisius College,"Canisius College , USA",-78.8514848,42.9248338
7,Kerry,Ring,University of New Mexico,"University of New Mexico , USA",-106.6197812,35.0843187
8,Sarah,Dodd,University at Buffalo,"University at Buffalo , USA",-78.7889697,43.0008093
10,Katherine,Wawrzaszek,SUNY University at Buffalo,"SUNY University at Buffalo , USA",-78.815918,42.9538627
11,Talia,Putrino,University at Buffalo,"University at Buffalo , USA",-78.7889697,43.0008093
12,Ellie,Sanna,"University at Buffalo, SUNY","University at Buffalo, SUNY , USA",-78.815918,42.9538627
13,EvanMatthew,Stewart,University at Buffalo,"University at Buffalo , USA",-78.7889697,43.0008093
14,Trevor,Hubble,University at Buffalo,"University at Buffalo , USA",-78.7889697,43.0008093
16,Murray,Louis,New York University ,"New York University  , USA",-73.9964609,40.7295134
17,Jon,Lehrer,University at Buffalo,"University at Buffalo , USA",-78.7889697,43.0008093
18,Daniel,Charon,University of North Carolina School of the Arts,"University of North Carolina School of the Arts , USA",-80.2370108,36.0762921
19,Anne,Burnidge,The Ohio State University,"The Ohio State University , USA",-83.0309143,40.0141905
20,Carolyn,Dorfman,University of Michigan,"University of Michigan , USA",-83.7382241,42.2780436
21,Melanie,Aceto,SUNY Geneseso,"SUNY Geneseso , USA",-77.8238627,42.7960069
22,Stephen,Petronio,Hampshire College,"Hampshire College , USA",-72.5328326,42.326348
23,Mike,Jack,University of Phoenix,"University of Phoenix , USA",-111.9801951,33.4122743
24,Dan,Woods,University of Kentucky,"University of Kentucky , USA",-84.5039697,38.0306511
25,Don,McCollum,Baylor University,"Baylor University , USA",-97.1184377,31.5482204
26,Mike,Jones,University of Florida,"University of Florida , USA",-82.3549302,29.6436325
